key, type, time (ms), max (ms), num
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.deref", "solving", 252, 41, 23
"FuncCallResAttr", "solving", 235, 22, 22
"DerefOfNullRetSensPlugin", "solving", 178, 41, 17
"derefofnull.DerefOfNullInconsistentPlugin$EndFuncChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.functionEndForVar", "solving", 41, 15, 4
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.deref", "creation", 34, 12, 23
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.apply", "solving", 18, 14, 2
"FuncCallResAttr", "creation", 14, 2, 22
"NegativeIfCond", "solving", 14, 14, 1
"", "solving", 11, 11, 1
"DerefOfNullRetSensPlugin", "creation", 10, 2, 17
"derefofnull.DerefOfNullInconsistentPlugin$EndFuncChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.functionEndForVar", "creation", 2, 1, 4
"NegativeIfCond", "creation", 0, 0, 1
"", "creation", 0, 0, 1
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker:interface ru.isp.svace.ipa.operation.builtin.CopyOperationGroup.apply", "creation", 0, 0, 2
